"","log(shape).est.rho","intercept.est.rho","S1.est.rho","Z.est.rho","S1:Z.est.rho","log(shape).rho.2","intercept.rho.2","S1.rho.2","Z.rho.2","S1:Z.rho.2"
"53",1.16524397732165,4.61080781673985,0.16823001213486,-0.586558158268984,0.00790290737374732,1.16524397732165,4.61080781673985,0.16823001213486,-0.586558158268984,0.00790290737374732
"54",1.06258911596932,5.24432768302096,-0.075694820932369,-1.07413590744435,0.180491499442212,1.06258911596932,5.24432768302096,-0.075694820932369,-1.07413590744435,0.180491499442212
"55",1.12068892183791,4.66331835318438,0.15008535657874,-0.452779565843085,0.0280677597596859,1.12068892183791,4.66331835318438,0.15008535657874,-0.452779565843085,0.0280677597596859
"56",1.17692613261406,5.07770469517474,-0.0601986078318663,-0.722407998060377,0.0982402195543979,1.17692613261406,5.07770469517474,-0.0601986078318663,-0.722407998060377,0.0982402195543979
"57",1.21454182468097,5.17688057548291,-0.0316741307356731,-0.918010786300681,0.0953385535641495,1.21454182468097,5.17688057548291,-0.0316741307356731,-0.918010786300681,0.0953385535641495
"58",1.15627425140175,4.80251373873478,0.0590017277848677,-1.43834060243625,0.291039980173306,1.15627425140175,4.80251373873478,0.0590017277848677,-1.43834060243625,0.291039980173306
"59",1.1669662539519,5.1387295768646,-0.0473119365801099,-1.13919319960001,0.28928611651963,1.1669662539519,5.1387295768646,-0.0473119365801099,-1.13919319960001,0.28928611651963
"60",1.0789626174231,5.12602131902737,-0.0256491298091371,-1.15903683514984,0.209529033651413,1.0789626174231,5.12602131902737,-0.0256491298091371,-1.15903683514984,0.209529033651413
"61",0.919210588719114,6.11696917121982,-0.237244241613817,-1.88792660678537,0.264694891283194,0.919210588719114,6.11696917121982,-0.237244241613817,-1.88792660678537,0.264694891283194
"62",0.984472797697532,5.13186457809849,-0.0176500190575502,-1.1674830698589,0.202142969196954,0.984472797697532,5.13186457809849,-0.0176500190575502,-1.1674830698589,0.202142969196954
"63",0.901972723970079,4.47385284740454,0.213612818390519,-0.35736504278341,-0.109632380597349,0.901972723970079,4.47385284740454,0.213612818390519,-0.35736504278341,-0.109632380597349
"64",0.667638290966683,5.02422379335785,0.00697967119923425,-0.989757252495464,0.120716613807654,0.667638290966683,5.02422379335785,0.00697967119923425,-0.989757252495464,0.120716613807654
"65",0.866513773922088,4.93436333204032,0.0769971859443482,-0.760665964647334,0.0300443204587626,0.866513773922088,4.93436333204032,0.0769971859443482,-0.760665964647334,0.0300443204587626
"66",0.990289655694513,5.23931709712556,-0.0842161132850592,-0.646100602652588,0.0315946862239854,0.990289655694513,5.23931709712556,-0.0842161132850592,-0.646100602652588,0.0315946862239854
"67",0.785494611699688,5.15690693405168,-0.0810193183258563,-1.21009584913696,0.174070969941377,0.785494611699688,5.15690693405168,-0.0810193183258563,-1.21009584913696,0.174070969941377
"68",0.8891845219629,4.6239419071503,0.153600474829359,-0.596116038665145,0.0119277319739178,0.8891845219629,4.6239419071503,0.153600474829359,-0.596116038665145,0.0119277319739178
"69",1.19280459452229,5.49800603817061,-0.177721956935831,-1.29270604793383,0.301501139440213,1.19280459452229,5.49800603817061,-0.177721956935831,-1.29270604793383,0.301501139440213
"70",0.966140712279459,4.97424041877273,0.0071770106560107,-0.613269286287916,0.0719987227440901,0.966140712279459,4.97424041877273,0.0071770106560107,-0.613269286287916,0.0719987227440901
"71",0.515936765593436,5.02331770937531,0.0768744643608664,-1.31325661379211,0.118802376690894,0.515936765593436,5.02331770937531,0.0768744643608664,-1.31325661379211,0.118802376690894
"72",0.922697625661829,4.82177897076396,0.0495699563819881,-1.04309338473223,0.167647971581559,0.922697625661829,4.82177897076396,0.0495699563819881,-1.04309338473223,0.167647971581559
"73",0.84716052720592,5.91996085038305,-0.153462691655651,-1.58506430228903,0.0820777873316328,0.84716052720592,5.91996085038305,-0.153462691655651,-1.58506430228903,0.0820777873316328
"74",1.03448634123981,5.4446036101834,-0.118073620054684,-1.25971661418568,0.18115969199572,1.03448634123981,5.4446036101834,-0.118073620054684,-1.25971661418568,0.18115969199572
"75",0.981008606856747,5.54537678970001,-0.114757264426845,-1.11726782055526,0.128022833044899,0.981008606856747,5.54537678970001,-0.114757264426845,-1.11726782055526,0.128022833044899
"76",0.946213976863783,4.69463910133154,0.14158186488835,-0.55039175034056,-0.0154026649953642,0.946213976863783,4.69463910133154,0.14158186488835,-0.55039175034056,-0.0154026649953642
"77",1.22196238948613,6.10171839598642,-0.291867789050468,-1.8545298448704,0.419207624348437,1.22196238948613,6.10171839598642,-0.291867789050468,-1.8545298448704,0.419207624348437
"78",0.826732348816389,4.98013558654925,0.0821763536963475,-0.902504165302214,-0.0136893265051158,0.826732348816389,4.98013558654925,0.0821763536963475,-0.902504165302214,-0.0136893265051158
"79",0.58815171542931,5.07763797634418,0.0496557288322816,-1.25258914177431,0.134196942453561,0.58815171542931,5.07763797634418,0.0496557288322816,-1.25258914177431,0.134196942453561
"80",1.08780500920776,5.230029251134,-0.0941145961633929,-0.952545555701746,0.200670482913036,1.08780500920776,5.230029251134,-0.0941145961633929,-0.952545555701746,0.200670482913036
"81",0.962808765731872,4.93296519756251,0.0472587112531331,-0.796722745174869,0.0861453410434913,0.962808765731872,4.93296519756251,0.0472587112531331,-0.796722745174869,0.0861453410434913
"82",1.24429674827275,4.79099509280865,0.00602836266377089,-0.710200102461802,0.107110626356774,1.24429674827275,4.79099509280865,0.00602836266377089,-0.710200102461802,0.107110626356774
"83",0.826250714519938,5.2271048099205,-0.0342144999992834,-1.0915587722576,0.181275315002262,0.826250714519938,5.2271048099205,-0.0342144999992834,-1.0915587722576,0.181275315002262
"84",1.06607543014365,4.78378240077495,0.101101381087123,-0.551755464906541,-0.00251316982627118,1.06607543014365,4.78378240077495,0.101101381087123,-0.551755464906541,-0.00251316982627118
"85",0.932414609823995,5.75424226731141,-0.182643685103279,-1.23973836659748,0.191084363215637,0.932414609823995,5.75424226731141,-0.182643685103279,-1.23973836659748,0.191084363215637
"86",0.97248977325324,4.95821085812601,-0.00858844358894966,-0.973914702578843,0.0491628114749876,0.97248977325324,4.95821085812601,-0.00858844358894966,-0.973914702578843,0.0491628114749876
"87",1.25550245223539,5.06872960055083,0.140471774644693,-1.01292385110463,0.0579608556524587,1.25550245223539,5.06872960055083,0.140471774644693,-1.01292385110463,0.0579608556524587
